step,total_coin,mean_coin,gini,planner_reward,reward_agent_0,reward_agent_1,reward_agent_2,reward_agent_3,coin_agent_0,coin_agent_1,coin_agent_2,coin_agent_3,wood_agent_0,wood_agent_1,wood_agent_2,wood_agent_3,stone_agent_0,stone_agent_1,stone_agent_2,stone_agent_3,labor_agent_0,labor_agent_1,labor_agent_2,labor_agent_3
10,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,10.0,6.5,10.0,0.75
11,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11.0,6.75,11.0,1.0
12,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,12.0,7.0,12.0,1.25
13,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,13.0,7.25,13.0,1.5
14,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,14.0,7.5,14.0,1.75
15,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,15.0,8.5,15.0,2.0
16,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,16.0,9.5,16.0,2.25
17,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,17.0,10.5,17.0,2.5
18,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,18.0,11.5,18.0,2.5
19,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,19.0,11.5,19.0,2.5
20,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,-0.42,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,20.0,12.5,20.0,4.5
21,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,21.0,12.5,21.0,4.5
22,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,-0.42,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,22.0,12.5,22.0,6.5
23,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,23.0,13.5,23.0,7.5
24,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,24.0,13.5,24.0,7.5
25,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,25.0,14.5,25.0,7.5
26,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,26.0,14.5,26.0,7.5
27,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,27.0,14.5,27.0,7.5
28,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,28.0,14.5,28.0,7.5
29,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,29.0,14.5,29.0,7.5
30,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,30.0,14.5,30.0,7.5
31,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,-0.21,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,31.0,14.5,31.0,8.5
32,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,-0.21,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,32.0,14.5,32.0,9.5
33,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,33.0,14.5,33.0,9.5
34,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,34.0,14.5,34.0,9.5
35,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,35.0,14.5,35.0,9.5
36,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,36.0,14.5,36.0,9.5
37,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,-0.21,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,37.0,14.5,37.0,10.5
38,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,38.0,14.5,38.0,10.5
39,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,39.0,14.5,39.0,10.5
40,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,40.0,14.5,40.0,10.5
41,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,-0.21,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,41.0,14.5,41.0,11.5
42,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,-0.21,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,42.0,14.5,42.0,12.5
43,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,43.0,14.5,43.0,12.5
44,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,44.0,14.5,44.0,12.5
45,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,45.0,14.5,45.0,12.5
46,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,46.0,14.5,46.0,12.5
47,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,-0.21,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,47.0,14.5,47.0,13.5
48,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,48.0,14.5,48.0,13.5
49,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,49.0,14.5,49.0,13.5
50,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,50.0,14.5,50.0,13.5
51,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,51.0,15.5,51.0,13.5
52,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,52.0,16.5,52.0,13.5
53,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,53.0,17.5,53.0,13.5
54,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,54.0,18.5,54.0,13.5
55,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,55.0,19.5,55.0,13.5
56,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,56.0,19.75,56.0,13.5
57,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,57.0,20.0,57.0,13.5
58,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,58.0,20.25,58.0,13.5
59,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,59.0,20.5,59.0,13.5
60,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,60.0,20.75,60.0,13.5
61,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,61.0,21.0,61.0,13.75
62,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,62.0,21.25,62.0,13.75
63,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,63.0,21.5,63.0,14.0
64,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,64.0,22.5,64.0,14.25
65,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,65.0,22.75,65.0,14.5
66,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,66.0,23.0,66.0,14.5
67,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,67.0,23.0,67.0,14.5
68,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,68.0,24.0,68.0,14.75
69,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,69.0,25.0,69.0,14.75
70,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,70.0,25.0,70.0,14.75
71,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,71.0,25.0,71.0,14.75
72,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,72.0,25.0,72.0,15.0
73,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,73.0,25.0,73.0,15.0
74,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,74.0,25.0,74.0,15.0
75,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,75.0,25.0,75.0,15.0
76,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,76.0,25.0,76.0,15.0
77,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,77.0,26.0,77.0,15.0
78,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,78.0,26.0,78.0,15.0
79,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,79.0,26.0,79.0,15.0
80,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,80.0,27.0,80.0,15.0
81,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,81.0,27.0,81.0,15.0
82,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,82.0,27.0,82.0,15.0
83,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,83.0,27.0,83.0,15.0
84,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,84.0,27.0,84.0,15.0
85,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,85.0,27.0,85.0,15.0
86,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,86.0,27.0,86.0,15.0
87,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,87.0,27.0,87.0,15.0
88,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,88.0,27.0,88.0,15.0
89,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,89.0,27.0,89.0,15.0
90,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,90.0,27.0,90.0,15.0
91,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,91.0,27.0,91.0,15.0
92,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,92.0,27.0,92.0,15.0
93,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,93.0,28.0,93.0,15.0
94,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,94.0,29.0,94.0,15.0
95,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,95.0,30.0,95.0,15.0
96,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,96.0,31.0,96.0,15.0
97,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,97.0,32.0,97.0,15.0
98,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,98.0,33.0,98.0,15.0
99,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,99.0,33.0,99.0,15.0
100,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,100.0,34.0,100.0,15.0
101,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,101.0,35.0,101.0,15.0
102,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,102.0,35.0,102.0,15.0
103,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,103.0,36.0,103.0,15.0
104,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,104.0,37.0,104.0,15.0
105,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,105.0,37.0,105.0,15.0
106,0.0,0.0,0.0,0.0,-0.21,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,106.0,37.0,106.0,15.0
107,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,107.0,37.25,107.0,15.0
108,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,108.0,37.5,108.0,15.0
109,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,109.0,37.75,109.0,15.0
