step,total_coin,mean_coin,gini,planner_reward,reward_agent_0,reward_agent_1,reward_agent_2,reward_agent_3,coin_agent_0,coin_agent_1,coin_agent_2,coin_agent_3,wood_agent_0,wood_agent_1,wood_agent_2,wood_agent_3,stone_agent_0,stone_agent_1,stone_agent_2,stone_agent_3,labor_agent_0,labor_agent_1,labor_agent_2,labor_agent_3
0,0.0,0.0,0.0,0.0,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0
1,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2.0,2.0,1.0,0.0
2,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3.0,3.0,2.0,0.0
3,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4.0,4.0,3.0,0.0
4,0.0,0.0,0.0,0.0,0.0,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4.0,5.0,4.0,0.0
5,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5.0,5.25,5.0,0.0
6,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6.0,5.5,6.0,0.0
7,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7.0,5.75,7.0,0.0
8,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,8.0,6.0,8.0,0.25
9,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9.0,6.25,9.0,0.5
