step,action_agent_0,action_agent_1,action_agent_2,action_agent_3,planner_action
0,24,24,2,47,"[9, 19, 6, 7, 18, 16, 6]"
1,2,48,46,46,"[10, 5, 1, 15, 19, 14, 17]"
2,47,2,49,47,"[1, 5, 11, 2, 18, 18, 16]"
3,2,46,24,15,"[1, 14, 19, 6, 4, 18, 13]"
4,47,47,24,2,"[12, 21, 5, 9, 2, 18, 19]"
