step,action_agent_0,action_agent_1,action_agent_2,action_agent_3,planner_action
0,46,47,46,48,"[4, 18, 15, 19, 21, 3, 18]"
1,2,46,46,24,"[10, 18, 21, 7, 12, 3, 8]"
2,49,47,49,39,"[3, 14, 5, 19, 5, 18, 2]"
3,44,48,2,48,"[0, 17, 14, 6, 21, 17, 21]"
4,47,24,48,49,"[20, 1, 19, 17, 0, 19, 14]"
