step,action_agent_0,action_agent_1,action_agent_2,action_agent_3,planner_action
0,46,0,2,47,"[3, 14, 8, 16, 10, 9, 5]"
1,24,2,0,48,"[12, 17, 17, 17, 2, 7, 7]"
2,48,47,0,47,"[18, 2, 21, 2, 14, 18, 15]"
3,48,47,49,0,"[6, 2, 8, 0, 13, 2, 5]"
4,0,46,24,24,"[21, 5, 11, 7, 19, 0, 11]"
