step,total_coin,mean_coin,gini,planner_reward,reward_agent_0,reward_agent_1,reward_agent_2,reward_agent_3,coin_agent_0,coin_agent_1,coin_agent_2,coin_agent_3,wood_agent_0,wood_agent_1,wood_agent_2,wood_agent_3,stone_agent_0,stone_agent_1,stone_agent_2,stone_agent_3,labor_agent_0,labor_agent_1,labor_agent_2,labor_agent_3
0,0.0,0.0,0.0,0.0,-0.0525,-0.42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0.25,2.0,0.0,0.0
1,0.0,0.0,0.0,0.0,-0.0525,-0.42,-0.0525,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0.5,4.0,0.25,0.0
2,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1.5,4.25,1.25,0.25
3,0.0,0.0,0.0,0.0,-0.21,-0.0525,-0.21,-0.0525,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2.5,4.5,2.25,0.5
4,0.0,0.0,0.0,0.0,-0.21,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3.5,5.5,3.25,1.5
