step,action_agent_0,action_agent_1,action_agent_2,action_agent_3,planner_action
0,2,47,0,0,"[4, 14, 6, 21, 5, 16, 13]"
1,24,46,2,0,"[21, 19, 15, 0, 0, 3, 18]"
2,46,14,47,2,"[16, 14, 12, 20, 0, 13, 3]"
3,49,17,49,24,"[20, 9, 15, 3, 17, 11, 4]"
4,48,47,47,47,"[15, 9, 16, 19, 2, 6, 4]"
