step,action_agent_0,action_agent_1,action_agent_2,action_agent_3,planner_action
0,49,24,24,47,"[9, 15, 10, 21, 18, 16, 20]"
1,0,24,0,24,"[10, 10, 14, 5, 11, 20, 19]"
2,2,48,48,24,"[12, 20, 10, 6, 14, 10, 17]"
3,2,24,48,46,"[6, 9, 17, 21, 21, 20, 7]"
4,46,47,47,47,"[3, 9, 16, 0, 21, 4, 15]"
